title,rename,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
Otterhound,,Hound,/search/breeds-a-to-z/breeds/hound/otterhound/,/media/1384/otterhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140461920000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,Yes
Papillon,,Toy,/search/breeds-a-to-z/breeds/toy/papillon/,/media/1652/papillon-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143808390000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,No garden,Flat/ Apartment,Either,No
Parson Russell Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/parson-russell-terrier/,/media/1574/parson-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143799320000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Pekingese,,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Pharaoh Hound,,Hound,/search/breeds-a-to-z/breeds/hound/pharaoh-hound/,/media/2965/pharaoh-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140462330000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Picardy Sheepdog (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/picardy-sheepdog-imp/,/media/1483/picardy-sheepdog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140630500000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Country,No
Pointer,,Gundog,/search/breeds-a-to-z/breeds/gundog/pointer/,/media/1175/pointer-illustration-resize.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140429390000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No
Polish Lowland Sheepdog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/polish-lowland-sheepdog/,/media/1486/polish-lowland-sheepdog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140631420000000,Long,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Small house,Either,No
Pomeranian,,Toy,/search/breeds-a-to-z/breeds/toy/pomeranian/,/media/1658/pomeranian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810450000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Poodle (Miniature),,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No
Poodle (Standard),,Utility,/search/breeds-a-to-z/breeds/utility/poodle-standard/,/media/2971/poodle-standard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143869060000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Medium,Large garden,Large house,Either,No
Poodle (Toy),,Utility,/search/breeds-a-to-z/breeds/utility/poodle-toy/,/media/1729/poodle-toy-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143869130000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Portuguese Podengo,,Hound,/search/breeds-a-to-z/breeds/hound/portuguese-podengo/,/media/2966/portuguese-podengo-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140465450000000,Short,Up to 30 minutes per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Portuguese Pointer (Imp),,Gundog,/search/breeds-a-to-z/breeds/gundog/portuguese-pointer-imp/,/media/1176/portuguese-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140429780000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Portuguese Water Dog,,Working,/search/breeds-a-to-z/breeds/working/portuguese-water-dog/,/media/2970/portuguese-water-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144237300000000,Medium,Up to 1 hour per day,Every day,Over 10 years,No,Medium,Small/ medium garden,Large house,Either,No
Pug,,Toy,/search/breeds-a-to-z/breeds/toy/pug/,/media/1661/pug-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810750000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Pyrenean Mastiff (Imp),,Working,/search/breeds-a-to-z/breeds/working/pyrenean-mastiff-imp/,/media/2967/pyrenean-mastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144237430000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Pyrenean Mountain Dog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/pyrenean-mountain-dog/,/media/1489/pyrenean-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140633340000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Pyrenean Sheepdog (Long Haired),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-long-haired/,/media/1494/pyrenean-sheepdog-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140637820000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Pyrenean Sheepdog (Smooth Faced) (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-smooth-faced-imp/,/media/4441/pyrenean-sheepdog-smooth-faced-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132617360790000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Retriever (Chesapeake Bay),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-chesapeake-bay/,/media/1177/retriever-chesapeake-bay-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140430310000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Retriever (Curly Coated),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-curly-coated/,/media/1178/retriever-curly-coated-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140430790000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,Yes
Retriever (Flat Coated),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-flat-coated/,/media/1183/retriever-flat-coated-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140431160000000,Medium,More than 2 hours per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Golden),Golden Retriever,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-golden/,/media/1184/retriever-golden-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140431570000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Labrador),Labrador,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-labrador/,/media/1185/retriever-labrador-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433580000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Nova Scotia Duck Tolling),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-nova-scotia-duck-tolling/,/media/1186/retriever-nova-scotia-duck-tolling-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433950000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Rhodesian Ridgeback,,Hound,/search/breeds-a-to-z/breeds/hound/rhodesian-ridgeback/,/media/2972/rhodesian-ridgeback-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140465770000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Rottweiler,,Working,/search/breeds-a-to-z/breeds/working/rottweiler/,/media/2974/rottweiler-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238200000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Russian Black Terrier,,Working,/search/breeds-a-to-z/breeds/working/russian-black-terrier/,/media/2973/russian-black-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238380000000,Medium,More than 2 hours per day,Every day,Over 10 years,No,Large,Large garden,Large house,Either,No
Russian Toy (Imp),,Toy,/search/breeds-a-to-z/breeds/toy/russian-toy-imp/,/media/3251/russian-toy.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132169926320000000,Short,Up to 1 hour per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Saluki,,Hound,/search/breeds-a-to-z/breeds/hound/saluki/,/media/2979/saluki-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140466060000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Country,No
Samoyed,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/samoyed/,/media/1495/samoyed-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638080000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Schipperke,,Utility,/search/breeds-a-to-z/breeds/utility/schipperke/,/media/1731/schipperke-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143869340000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Schnauzer,,Utility,/search/breeds-a-to-z/breeds/utility/schnauzer/,/media/2975/schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870290000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Scottish Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/scottish-terrier/,/media/1577/scottish-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143799620000000,Long,Up to 1 hour per day,Every day,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Sealyham Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/sealyham-terrier/,/media/1580/sealyham-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143799910000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Small house,Either,Yes
Shar Pei,,Utility,/search/breeds-a-to-z/breeds/utility/shar-pei/,/media/1737/shar-pei-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870590000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Shetland Sheepdog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/shetland-sheepdog/,/media/1498/shetland-sheepdog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638510000000,Medium,Up to 1 hour per day,Every day,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Shih Tzu,,Utility,/search/breeds-a-to-z/breeds/utility/shih-tzu/,/media/2976/shih-tzu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870800000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Siberian Husky,,Working,/search/breeds-a-to-z/breeds/working/siberian-husky/,/media/2666/siberian-husky-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238560000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Skye Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/skye-terrier/,/media/1584/skye-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800280000000,Long,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,Yes
Sloughi,,Hound,/search/breeds-a-to-z/breeds/hound/sloughi/,/media/2980/sloughi-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140468410000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Medium,Large garden,Large house,Country,No
Slovakian Rough Haired Pointer (Imp),,Gundog,/search/breeds-a-to-z/breeds/gundog/slovakian-rough-haired-pointer-imp/,/media/1187/slovakian-rough-haired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140434680000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,No,Large,Large garden,Large house,Country,No
Small Munsterlander (Imp),,Gundog,/search/breeds-a-to-z/breeds/gundog/small-munsterlander-imp/,/media/1188/small-munsterlander-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140435660000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Country,No
Soft Coated Wheaten Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/soft-coated-wheaten-terrier/,/media/1586/soft-coated-wheaten-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800500000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Medium,Small/ medium garden,Small house,Either,Yes
Spaniel (American Cocker),,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-american-cocker/,/media/1189/spaniel-american-cocker-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140436000000000,Long,More than 2 hours per day,Every day,Over 10 years,Yes,Small,Large garden,Small house,Either,No
Spaniel (American Water) (Imp),,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-american-water-imp/,/media/1190/spaniel-american-water-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140436300000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,No,Medium,Small/ medium garden,Small house,Either,No
Spaniel (Clumber),,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-clumber/,/media/1191/spaniel-clumber-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140436700000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Large,Small/ medium garden,Large house,Country,Yes
Spaniel (Cocker),Cocker Spaniel,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-cocker/,/media/1200/spaniel-cocker-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437010000000,Medium,Up to 1 hour per day,Every day,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Spaniel (English Springer),Springer Spaniel,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No
Spaniel (Field),,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-field/,/media/1194/spaniel-field-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437650000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Country,Yes
Spaniel (Irish Water),,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-irish-water/,/media/1195/spaniel-irish-water-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140438010000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,No,Medium,Large garden,Large house,Country,Yes
Spaniel (Sussex),,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-sussex/,/media/1196/spaniel-sussex-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140440660000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Country,Yes
Spaniel (Welsh Springer),,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-welsh-springer/,/media/1197/spaniel-welsh-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140441000000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,Yes
Spanish Water Dog,,Gundog,/search/breeds-a-to-z/breeds/gundog/spanish-water-dog/,/media/2667/spanish-water-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140441280000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Medium,Small/ medium garden,Small house,Country,No
St. Bernard,,Working,/search/breeds-a-to-z/breeds/working/st-bernard/,/media/2977/st-bernard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238760000000,Short,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Staffordshire Bull Terrier,Staffy,Terrier,/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/,/media/1589/staffordshire-bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800790000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Swedish Lapphund (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/swedish-lapphund-imp/,/media/1501/swedish-lapphund-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638960000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Swedish Vallhund,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/swedish-vallhund/,/media/1504/swedish-vallhund-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140639260000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Tibetan Mastiff,,Working,/search/breeds-a-to-z/breeds/working/tibetan-mastiff/,/media/1923/tibetan-mastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238940000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Tibetan Spaniel,,Utility,/search/breeds-a-to-z/breeds/utility/tibetan-spaniel/,/media/2981/tibetan-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870980000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Tibetan Terrier,,Utility,/search/breeds-a-to-z/breeds/utility/tibetan-terrier/,/media/2661/tibetan-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143871170000000,Long,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No
Turkish Kangal Dog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/turkish-kangal-dog/,/media/1507/turkish-kangal-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143773590000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Weimaraner,,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Welsh Corgi (Cardigan),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/welsh-corgi-cardigan/,/media/1510/welsh-corgi-cardigan.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143775100000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,Yes
Welsh Corgi (Pembroke),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/welsh-corgi-pembroke/,/media/1515/welsh-corgi-pembroke.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143775030000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Welsh Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/welsh-terrier/,/media/1592/welsh-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143801140000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
West Highland White Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/west-highland-white-terrier/,/media/1595/west-highland-white-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143801520000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Whippet,,Hound,/search/breeds-a-to-z/breeds/hound/whippet/,/media/1405/whippet-illustration.png?mode=crop&anchor=center&width=81&height=81&rnd=132404261230000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
White Swiss Shepherd Dog (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/white-swiss-shepherd-dog-imp/,/media/1516/white-swiss-shepherd-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143775250000000,Medium & long,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Xoloitzcuintle (Mex Hairless) Int (Imp),,Utility,/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-int-imp/,/media/2982/xoloitzcuintle-int-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143871370000000,Short,Up to 1 hour per day,Once a week,Over 10 years,No,Small,Small/ medium garden,Small house,Either,No
Xoloitzcuintle (Mex Hairless) Min (Imp),,Utility,/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-min-imp/,/media/2662/xoloitzcuintle-mex-hairless-min.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143871560000000,Short,Up to 1 hour per day,Once a week,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Xoloitzcuintle (Mex Hairless) Std (Imp),,Utility,/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-std-imp/,/media/2983/xoloitzcuintle-mex-hairless-std-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143871760000000,Short,Up to 1 hour per day,Once a week,Over 10 years,No,Medium,Small/ medium garden,Small house,Either,No
Yorkshire Terrier,,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
