title,search_term,dog_order,dog_order_by_size,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Whippet,whippet,59,2,Hound,/search/breeds-a-to-z/breeds/hound/whippet/,/media/1405/whippet-illustration.png?mode=crop&anchor=center&width=81&height=81&rnd=132404261230000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,
Staffordshire Bull Terrier,staffy,56,3,Terrier,/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/,/media/1589/staffordshire-bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800790000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
St. Bernard,st+bernard,55,2,Working,/search/breeds-a-to-z/breeds/working/st-bernard/,/media/2977/st-bernard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238760000000,Short,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No
Siberian Husky,husky,53,3,Working,/search/breeds-a-to-z/breeds/working/siberian-husky/,/media/2666/siberian-husky-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238560000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Shih Tzu,shih+tzu,52,4,Utility,/search/breeds-a-to-z/breeds/utility/shih-tzu/,/media/2976/shih-tzu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870800000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Shiba Inu,shiba+inu,51,4,,,,,,,,,Medium,,,,
Shar Pei,shar+pei,50,5,Utility,/search/breeds-a-to-z/breeds/utility/shar-pei/,/media/1737/shar-pei-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870590000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Schnauzer,schnauzer,49,6,Utility,/search/breeds-a-to-z/breeds/utility/schnauzer/,/media/2975/schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870290000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Samoyed,samoyed,48,7,Pastoral,/search/breeds-a-to-z/breeds/pastoral/samoyed/,/media/1495/samoyed-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638080000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Rottweiler,rottweiler,47,3,Working,/search/breeds-a-to-z/breeds/working/rottweiler/,/media/2974/rottweiler-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238200000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Labrador),labrador,46,4,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-labrador/,/media/1185/retriever-labrador-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433580000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Golden),golden+retriever,45,5,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-golden/,/media/1184/retriever-golden-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140431570000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Pug,pug,44,5,Toy,/search/breeds-a-to-z/breeds/toy/pug/,/media/1661/pug-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810750000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Poodle (Miniature),poodle,43,6,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No
Pomeranian,pomeranian,42,7,Toy,/search/breeds-a-to-z/breeds/toy/pomeranian/,/media/1658/pomeranian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810450000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Pekingese,pekingese,41,8,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Miniature Schnauzer,miniature+schnauzer,40,9,Utility,/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/,/media/2960/miniature-schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143867930000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Mastiff,mastiff,39,6,Working,/search/breeds-a-to-z/breeds/working/mastiff/,/media/1803/masttiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236750000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes
Maltese,maltese,38,10,Toy,/search/breeds-a-to-z/breeds/toy/maltese/,/media/1646/maltese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807800000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Malamute,malamute,37,7,,,,,,,,,Large,,,,
Lhasa Apso,lhasa+apso,36,11,Utility,/search/breeds-a-to-z/breeds/utility/lhasa-apso/,/media/2959/lhasa-apso-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143857660000000,Long,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Labradoodle,labradoodle,35,8,,,,,,,,,Medium,,,,
Jack Russell Terrier,jack+russell,34,12,Terrier,/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/,/media/1556/jack-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797020000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Country,No
Havanese,havanese,33,13,Toy,/search/breeds-a-to-z/breeds/toy/havanese/,/media/1631/havanese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805500000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Greyhound,greyhound,32,8,Hound,/search/breeds-a-to-z/breeds/hound/greyhound/,/media/2941/greyhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140459660000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Great Pyrenees,great+pyrenees,31,9,,,,,,,,,Large,,,,
Great Dane,great+dane,30,10,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Goldendoodle,goldendoodle,29,9,,,,,,,,,Medium,,,,
German Shorthaired Pointer,gsp,28,10,Gundog,/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/,/media/1164/german-shorthaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424900000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
German Shepherd Dog,german+shepherd,27,11,Pastoral,/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/,/media/3259/german-shepherd-dog.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132186393170000000,Short & long,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
French Bulldog,french+bulldog,26,14,Utility,/search/breeds-a-to-z/breeds/utility/french-bulldog/,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Doberman,doberman,25,12,Working,/search/breeds-a-to-z/breeds/working/dobermann/,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Dalmatian,dalmatian,24,11,Utility,/search/breeds-a-to-z/breeds/utility/dalmatian/,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No
Dachshund (Long Haired),dachshund,23,12,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Corgi,corgi,22,15,,,,,,,,,Small,,,,
Collie,collie,21,13,,,,,,,,,Medium,,,,
Cocker Spaniel,cocker+spaniel,20,14,,,,,,,,,Medium,,,,
Cockapoo,cockapoo,19,16,,,,,,,,,Small,,,,
Chow Chow,chow+chow,18,13,Utility,/search/breeds-a-to-z/breeds/utility/chow-chow/,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Small/ medium garden,Large house,Country,No
Chiweenie,chiweenie,17,17,,,,,,,,,Small,,,,
Chihuahua,chihuahua,16,18,,,,,,,,,Small,,,,
Cavapoo,cavapoo,15,19,,,,,,,,,Small,,,,
Cane Corso,cane+corso,14,14,,,,,,,,,Large,,,,
Bulldog,bulldog,13,15,Utility,/search/breeds-a-to-z/breeds/utility/bulldog/,/media/2913/bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812570000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Bull Terrier,bull+terrier,12,16,Terrier,/search/breeds-a-to-z/breeds/terrier/bull-terrier/,/media/1529/bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143782960000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Boxer,boxer,11,15,Working,/search/breeds-a-to-z/breeds/working/boxer/,/media/2918/boxer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872640000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Boston Terrier,boston+terrier,10,20,Utility,/search/breeds-a-to-z/breeds/utility/boston-terrier/,/media/2910/boston-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812320000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Border Terrier,border+terrier,9,21,Terrier,/search/breeds-a-to-z/breeds/terrier/border-terrier/,/media/1526/border-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143779610000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Border Collie,border+collie,8,17,Pastoral,/search/breeds-a-to-z/breeds/pastoral/border-collie/,/media/1435/border-collie-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140540180000000,Medium,More than 2 hours per day,More than once a week,Over 12 years,Yes,Medium,Large garden,Small house,Either,No
Bichon Frise,bichon+frise,7,22,Toy,/search/breeds-a-to-z/breeds/toy/bichon-frise/,/media/1604/bichon-frise-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802390000000,Medium,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Bernese Mountain Dog,bernese+mountain+dog,6,16,Working,/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/,/media/2919/bernese-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872230000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Belgian Malinois,belgian+malinois,5,18,,,,,,,,,Medium,,,,
Beagle,beagle,4,23,Hound,/search/breeds-a-to-z/breeds/hound/beagle/,/media/1353/beagle-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454670000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Basset Hound,basset+hound,3,19,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No
Australian Shepherd,australian+shepherd,2,20,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Akita,akita,1,17,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
